310	DROGUERIA PASTEUR CIUDAD BOLIVAR	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/rgHvWsc6EfCJFYJZA
356	DROGUERIA PASTEUR FREDONIA	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/LJTytKmwHKgwdyYQ9
342	DROGUERIA PASTEUR JARDIN	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/AxGQ1CoBskp7tEa2A
360	DROGUERIA PASTEUR COLISEO JARDIN	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/g7Pe2SJpkB5QCfYq5
294	DROGUERIA PASTEUR PARQUE DE URRAO	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/9nFEKafLwXpgwgb5A
397	DROGUERIA PASTEUR ANDES	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/fW6bea4RbSPgEyac6
398	DROGUERIA PASTEUR PARQUE DE JARDIN	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/tnxEnoWYEm8Gua2V9
332	DROGUERIA PASTEUR LA UNION	UNION - ZONA 1	https://maps.app.goo.gl/ZY7Gn2Vz1sWjNkui7
21	FARMACIA PASTEUR (CAMPESTRE)	ZONA 1- ENVIGADO	https://maps.app.goo.gl/BkykfVmA3vQm16SX6
27	FARMACIA PASTEUR (ENVIGADO)	ZONA 1- ENVIGADO	https://maps.app.goo.gl/Y7jipZY9unU9gE6z5
59	FARMACIA PASTEUR GUADALCANAL	ZONA 1- ENVIGADO	https://maps.app.goo.gl/q1t957CpCbrUGN8U8
63	FARMACIA PASTEUR COMPLEX LAS VEGAS	ZONA 1- ENVIGADO	https://maps.app.goo.gl/CrYXCBSXMdA5VZQj9
78	FARMACIA PASTEUR JUMBO LAS VEGAS	ZONA 1- ENVIGADO	https://maps.app.goo.gl/YNd5EJAtAATQ8vx79
80	DROGAS LA GARANTIA LA SEBASTIANA	ZONA 1- ENVIGADO	https://maps.app.goo.gl/GYF1uXXUXdiE5yMC8
83	FARMACIA PASTEUR EURO LA FRONTERA	ZONA 1- ENVIGADO	https://maps.app.goo.gl/3JqMAJ8vSE1gG9GAA
126	FARMACIA PASTEUR GUAYACAN	ZONA 1- ENVIGADO	https://maps.app.goo.gl/NF2SdY2PzS4iwk2J7
207	FARMACIA PASTEUR SAN MARCOS	ZONA 1- ENVIGADO	https://maps.app.goo.gl/p6d9ovkuCqaUBK4J9
261	DROGUERIA PASTEUR ESMERALDAL	ZONA 1- ENVIGADO	https://maps.app.goo.gl/ZgEGjnCoG1gypC376
264	DROGUERIA PASTEUR DISTRITO AVIGNON	ZONA 1- ENVIGADO	https://maps.app.goo.gl/54aFr2oTp9QCn9KT8
337	DROGUERIA PASTEUR ESMERALDAL PLAZA	ZONA 1- ENVIGADO	https://maps.app.goo.gl/ibU8u5cCdtgm25F68
374	DROGUERIA PASTEUR MONTEVENTO	ZONA 1- ENVIGADO	https://maps.app.goo.gl/QU8ga5jxgFNg3Wpe9
70	MARKET PASTEUR FRONTERA	ZONA 1- ENVIGADO	https://maps.app.goo.gl/sYYFy4V5RNUxaNwV6
98	FARMACIA PASTEUR SAN LUCAS	ZONA 1- ENVIGADO	https://maps.app.goo.gl/JG7AULxHKX3vkAPe7
150	FARMACIA PASTEUR PARQUE ENVIGADO	ZONA 1- ENVIGADO	https://maps.app.goo.gl/JUMtEyjeoeU69B9U7
375	MARKET PASTEUR CITY PLAZA	ZONA 1- ENVIGADO	https://maps.app.goo.gl/oX1vLW1qmQ1gvSyZA
378	MARKET PASTEUR GUAYACAN DE AVIGNON	ZONA 1- ENVIGADO	https://maps.app.goo.gl/5TeqTnXFBvNAMBCe6
287	DROGUERIA PASTEUR SANTA MARIA DE LOS ANGELES	ZONA 1- ENVIGADO	https://maps.app.goo.gl/xewNhGb9K9aqcoAz8
196	FARMACIA PASTEUR EAFIT	ZONA 1- POBLADO	https://maps.app.goo.gl/AFyhdVfvkFiTGEiS8
383	SELF BY PASTEUR	ZONA 1- POBLADO	https://maps.app.goo.gl/85xqAV5d818daJ8z6
26	FARMACIA PASTEUR (POBLADO)	ZONA 1- POBLADO	https://maps.app.goo.gl/3AmZPyrMm6EjkTTy5
82	FARMACIA PASTEUR SAN DIEGO	ZONA 1- POBLADO	https://maps.app.goo.gl/KwGFGLSewa3sQfSs7
19	FARMACIA PASTEUR PLATINUM	ZONA 1- POBLADO	https://maps.app.goo.gl/VvJ3UFLURv1XPjzC9
86	FARMACIA PASTEUR TORRE LA VEGA	ZONA 1- POBLADO	https://maps.app.goo.gl/TDLPMshUgAz1q5Ek7
22	FARMACIA PASTEUR (OVIEDO)	ZONA 1- POBLADO	https://maps.app.goo.gl/JvfcnesGMNcUohF18
87	FARMACIA PASTEUR BANCOLOMBIA	ZONA 1- POBLADO	https://maps.app.goo.gl/VQPQyRQL5sHpNrie7
50	DROGUERIA PASTEUR VEGAS 10	ZONA 1- POBLADO	https://maps.app.goo.gl/qnQarfsUP1NLUpzt7
134	FARMACIA PASTEUR SALUD Y SERVICIOS	ZONA 1- POBLADO	https://maps.app.goo.gl/FoQrYMoRj6zmwtHX8
65	FARMACIA PASTEUR DRUG STORE (VERONA)	ZONA 1- POBLADO	https://maps.app.goo.gl/6cW6qmoH2yXWjxft6
144	FARMACIA PASTEUR PALMA GRANDE	ZONA 1- POBLADO	https://maps.app.goo.gl/iHAaCFzAwCPj8cNr9
145	FARMACIA PASTEUR MILLA DE ORO	ZONA 1- POBLADO	https://maps.app.goo.gl/Wq61txubbX1UEBTe9
191	PASTEUR MARKET PUNTO CLAVE	ZONA 1- POBLADO	https://maps.app.goo.gl/mWMr7oKcbtLHS9Hi6
133	FARMACIA PASTEUR OPEN MALL	ZONA 1- POBLADO	https://maps.app.goo.gl/zBNFJPG397XQsXH5A
141	FARMACIA PASTEUR EURO PALMAS	ZONA 1- POBLADO	https://maps.app.goo.gl/jDP75N9vXC6RMUzT6
226	MARKET PASTEUR AMSTERDAM	ZONA 1- POBLADO	https://maps.app.goo.gl/cvEqSQcyJ9CpKkDt8
